Time,X,Y,Z,DCH01-01,DCH01-02,DCH01-03,DCH01-04,DCH01-05,DCH01-06,DCH01-07,DCH01-08,DCH02-01,DCH02-02,DCH02-03,DCH02-04,DCH02-05,DCH02-06,DCH02-07,DCH02-08,DCH03-01,DCH03-02,DCH03-03,DCH03-04,DCH03-05,DCH03-06,DCH03-07,DCH03-08,DCH04-01,DCH04-02,DCH04-03,DCH04-04,DCH04-05,DCH04-06,DCH04-07,DCH04-08,DCH05-01,DCH05-02,DCH05-03,DCH05-04,DCH05-05,DCH05-06,DCH05-07,DCH05-08,DCH06-01,DCH06-02,DCH06-03,DCH06-04,DCH06-05,DCH06-06,DCH06-07,DCH06-08,DCH07-01,DCH07-02,DCH07-03,DCH07-04
0:00:21,0,-0.003,-0.277,15.06,15,13.87,14.12,13.75,13.5,13.12,13.18,14.93,15.25,14.12,14,13.5,13.56,13.37,13.5,14.75,15,13.81,13.75,13.56,13.18,13.06,13.12,15.06,14.87,13.06,13.62,13.56,13.25,13.06,13.43,15.31,14.43,13.5,13.68,13.5,13.06,13.18,13.31,14.43,14.62,13.06,13.25,13.43,13.25,13.25,13.12,15.56,15.75,15.56,15.5
0:00:51,0,-0.003,-0.278,15.06,14.93,13.87,14.12,13.75,13.5,13.25,13.18,15,15.18,14.12,14,13.5,13.56,13.37,13.5,14.81,15,13.81,13.75,13.56,13.18,13.06,13.12,15.06,14.87,13.06,13.62,13.5,13.25,13.06,13.43,15.31,14.37,13.43,13.68,13.43,13,13.18,13.31,14.43,14.56,13.06,13.25,13.43,13.25,13.25,13.12,15.56,15.75,15.56,15.5
0:01:21,0,-0.003,-0.277,15.06,15,13.87,14.12,13.68,13.5,13.18,13.18,14.93,15.18,14.12,14,13.5,13.56,13.37,13.5,14.75,15,13.81,13.75,13.56,13.18,13.06,13.18,15.06,14.87,13.06,13.62,13.56,13.25,13.12,13.43,15.31,14.43,13.43,13.68,13.43,13,13.18,13.25,14.5,14.56,13,13.25,13.43,13.25,13.25,13.12,15.56,15.75,15.56,15.5
0:01:51,0,-0.003,-0.278,15.06,15,13.81,14.12,13.75,13.5,13.18,13.18,14.93,15.18,14.12,14,13.5,13.56,13.37,13.5,14.75,15,13.81,13.68,13.56,13.18,13.06,13.18,15.06,14.87,13.12,13.62,13.5,13.25,13.06,13.43,15.31,14.43,13.43,13.68,13.5,13,13.12,13.31,14.5,14.56,13,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.56,15.43
0:02:21,0,-0.003,-0.278,15,14.93,13.87,14.12,13.75,13.5,13.25,13.18,14.93,15.18,14.12,14,13.5,13.56,13.37,13.5,14.75,14.93,13.81,13.68,13.56,13.18,13.06,13.12,15,14.87,13.12,13.62,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.5,13,13.12,13.31,14.43,14.56,13,13.25,13.43,13.25,13.25,13.12,15.56,15.68,15.56,15.43
0:02:51,0.001,-0.003,-0.278,15,14.93,13.81,14.12,13.75,13.5,13.18,13.18,14.93,15.18,14.06,14,13.5,13.56,13.37,13.5,14.75,14.93,13.81,13.68,13.56,13.18,13.06,13.12,15.06,14.87,13.12,13.62,13.5,13.25,13.06,13.43,15.25,14.43,13.43,13.68,13.5,13,13.12,13.31,14.43,14.56,13,13.25,13.43,13.25,13.18,13.12,15.56,15.68,15.5,15.5
0:03:21,0.001,-0.004,-0.278,15,14.93,13.81,14.12,13.75,13.5,13.18,13.18,14.93,15.18,14.06,14,13.5,13.56,13.37,13.5,14.75,14.93,13.75,13.68,13.56,13.18,13.06,13.12,15.06,14.87,13.06,13.56,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.5,13,13.12,13.31,14.43,14.56,13,13.25,13.43,13.25,13.25,13.12,15.56,15.68,15.5,15.5
0:03:51,0,-0.004,-0.278,15,14.93,13.81,14.12,13.75,13.5,13.18,13.18,14.93,15.18,14.12,14,13.5,13.56,13.37,13.5,14.75,14.93,13.81,13.68,13.56,13.18,13.06,13.12,15,14.87,13.06,13.56,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.31,14.43,14.56,13,13.25,13.43,13.25,13.25,13.12,15.5,15.68,15.56,15.43
0:04:21,0,-0.003,-0.278,15,14.93,13.81,14.12,13.75,13.5,13.25,13.18,14.93,15.18,14.12,14,13.5,13.56,13.37,13.5,14.75,14.93,13.81,13.68,13.56,13.18,13.06,13.12,15,14.87,13.06,13.56,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.5,13,13.12,13.25,14.43,14.56,13.06,13.25,13.43,13.25,13.25,13.12,15.5,15.68,15.56,15.43
0:04:51,0,-0.004,-0.278,15,14.93,13.81,14.12,13.75,13.5,13.18,13.18,14.93,15.18,14.12,14,13.5,13.56,13.37,13.5,14.75,14.93,13.81,13.68,13.56,13.18,13.06,13.12,15,14.87,13.06,13.56,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.25,14.43,14.56,13.06,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.56,15.43
0:05:21,0.001,-0.004,-0.279,15,14.93,13.81,14.12,13.75,13.5,13.12,13.18,14.87,15.18,14.12,14,13.5,13.56,13.37,13.5,14.75,14.93,13.81,13.68,13.56,13.18,13.06,13.12,15,14.81,13.12,13.62,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.25,14.43,14.56,13,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.5,15.43
0:05:51,0.001,-0.004,-0.277,15,14.93,13.81,14.12,13.75,13.43,13.25,13.18,14.93,15.18,14.06,14,13.5,13.56,13.37,13.5,14.75,14.93,13.75,13.68,13.56,13.18,13.06,13.12,15,14.81,13.12,13.62,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.31,14.43,14.56,13,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.5,15.43
0:06:21,0.001,-0.004,-0.278,15,14.93,13.81,14.12,13.68,13.5,13.18,13.18,14.93,15.18,14.06,14,13.5,13.56,13.37,13.5,14.75,14.93,13.75,13.68,13.56,13.18,13.06,13.12,15,14.81,13.12,13.56,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.25,14.43,14.56,13,13.25,13.43,13.25,13.25,13.12,15.5,15.68,15.5,15.43
0:06:51,0.001,-0.003,-0.279,15,14.93,13.81,14.12,13.75,13.5,13.25,13.18,14.93,15.18,14.06,14,13.5,13.56,13.37,13.5,14.75,14.93,13.75,13.68,13.56,13.18,13.06,13.12,15,14.81,13.18,13.62,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.25,14.43,14.56,13,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.5,15.43
0:07:21,0.001,-0.003,-0.279,15,14.87,13.81,14.12,13.68,13.43,13.18,13.18,14.87,15.18,14.06,14,13.5,13.56,13.37,13.5,14.68,14.93,13.75,13.68,13.56,13.18,13,13.12,15.06,14.81,13.18,13.62,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.31,14.43,14.56,13,13.25,13.43,13.25,13.25,13.12,15.5,15.68,15.43,15.43
0:07:51,0.001,-0.004,-0.278,15,14.87,13.81,14.06,13.68,13.5,13.25,13.18,14.87,15.12,14.06,13.93,13.5,13.56,13.37,13.5,14.68,14.93,13.75,13.68,13.5,13.18,13.06,13.12,15,14.81,13.12,13.62,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.25,14.43,14.56,13,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.43,15.43
0:08:21,0.001,-0.003,-0.277,15,14.93,13.75,14.12,13.75,13.5,13.18,13.18,14.87,15.18,14.06,14,13.5,13.56,13.37,13.5,14.68,14.93,13.75,13.68,13.56,13.18,13.06,13.12,15,14.81,13.12,13.56,13.5,13.25,13.06,13.43,15.25,14.37,13.43,13.68,13.43,13,13.12,13.25,14.43,14.56,13.06,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.5,15.43
0:08:51,0.001,-0.003,-0.277,15,14.93,13.81,14.06,13.68,13.43,13.18,13.18,14.87,15.12,14.06,14,13.5,13.56,13.37,13.5,14.75,14.93,13.75,13.68,13.56,13.18,13.06,13.12,15,14.81,13.12,13.56,13.5,13.25,13.06,13.43,15.18,14.37,13.43,13.68,13.43,13,13.12,13.25,14.43,14.5,13,13.25,13.43,13.25,13.18,13.12,15.5,15.68,15.5,15.43
